name,disease,scientific_name,vernacular_name,parts,quantity,type,preparation,use,contraindications,medical_recommendations,source,country
RC-01P-hedhelix-IT,To regulate menstrual cycle,Hedera helix,Common Ivy (EN); Edera (IT);,Leafs,,decoction,,,,,"Coronedi-Berti C. Rivista di Letteratura Popolare. Volume I. Ermanno Loescher Editore; Torino, Italy: 1877. Appunti di medicina Bolognese; pp. 1–12. ",Italy
AM-02P-artabrot-IT,Amenorrhea        ,Artemisia abrotanum,Southern Wormwood (EN); Abrotano (IT);,Plant (not specified),,topical administration,,Hold on the skin,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
AM-02P-artabrot-IT,Amenorrhea        ,Cupressus sempervirens,Cypress (EN); Cipresso (IT);,Leaves,,topical administration,,Hold on the skin,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
AM-01P-artabsin-IT,Amenorrhea        ,Artemisia absinthium,Wormwood (EN); Assenzio (IT);,Leafs,,not specified,,,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
RC-01F-matchamo-IT,To regulate menstrual cycle,Matricaria chamomilla,Chamomile (EN); Chamomile (EN); Camomilla volgare (IT);,Flowers,,decoction,,,,,Marzano G.B. Usi e Costumi di Laureana di Borrello-Medicina Popolare. La Calabria. 1890;III:29–30.,Italy
DY-03F-matchamo-IT,Dysmenorrhea,Matricaria chamomilla,Chamomile (EN); Chamomile (EN); Camomilla volgare (IT);,Flowers,,washing,,,,,"Zanazzo G. Usi, Costumi e Pregiudizi del Popolo di Roma. Società Tipografica- Editrice Nazionale; Torino, Italy: 1908. pp. 30–60.",Italy
DY-03F-matchamo-IT,Dysmenorrhea,Papaverum rhoeas,Common poppy (EN); Papavero (IT);,Flowers,,washing,,,,,"Zanazzo G. Usi, Costumi e Pregiudizi del Popolo di Roma. Società Tipografica- Editrice Nazionale; Torino, Italy: 1908. pp. 30–60.",Italy
DY-03F-matchamo-IT,Dysmenorrhea; Amenorrhea        ,Malva sylvestris,Common mallow (EN); Malva (IT);,Leaves,,washing,,,,,"Zanazzo G. Usi, Costumi e Pregiudizi del Popolo di Roma. Società Tipografica- Editrice Nazionale; Torino, Italy: 1908. pp. 30–60; Pitrè G. Medicina Popolare Siciliana. Carlo Clausen Editore; Torino, Italy: 1896. ; Pasquarelli G. In: Medicina Magia e Classi Sociali Nella Basilicata Degli Anni Venti. Scritti di un Medico Antropologo. Bronzini G.B., editor. Congedo Editore; Galatina, Italy: 1987. ; Finamore G. Tradizioni Popolari Abruzzesi. Carlo Clausen Editore; Torino, Italy: 1894.",Italy
AM-04F-matchamo-IT,Amenorrhea        ,Matricaria chamomilla,Chamomile (EN); Chamomile (EN); Camomilla volgare (IT);,Flowers,,not specified,,"Drink it together with dried pigeon’s blood, all blessed in wine",,,"Finamore G. Tradizioni Popolari Abruzzesi. Carlo Clausen Editore; Torino, Italy: 1894.",Italy
AM-04F-matchamo-IT,Amenorrhea        ,Juniperus sabina,Savin juniper (EN); Erba sabina (IT);,Flowers,,not specified,,"Drink it together with dried pigeon’s blood, all blessed in wine",,,"Finamore G. Tradizioni Popolari Abruzzesi. Carlo Clausen Editore; Torino, Italy: 1894.",Italy
AM-04F-matchamo-IT,Amenorrhea        ,Crocus sativus,Saffron (EN); Zafferano (IT);,Flowers,,not specified,,"Drink it together with dried pigeon’s blood, all blessed in wine",,,"Finamore G. Tradizioni Popolari Abruzzesi. Carlo Clausen Editore; Torino, Italy: 1894.",Italy
AM-04F-matchamo-IT,Amenorrhea        ,Boswellia,Incense (EN); Incenso (IT);,Seeds,,not specified,,"Drink it together with dried pigeon’s blood, all blessed in wine",,,"Finamore G. Tradizioni Popolari Abruzzesi. Carlo Clausen Editore; Torino, Italy: 1894.",Italy
MT-01P-petalbus-IT,Metrorrhagia,Petasites albus Gaertn. ,White butterbur (EN); Farfaraccio bianco (IT);,Plant (not specified),,not specified,,,,,"Pedrotti G., Bertoldi V. Nomi Dialettali Delle Piante Indigene del Trentino e Della Ladinia Dolomitica. Tipografia della Casa Editrice GB Monauni; Trento, Italy: 1930. ",Italy
RC-02L-tusfarfa-IT,To regulate menstrual cycle,Tussilago farfara,Coltsfoot (EN); Farfarella (IT);,Leaves,,decoction,,,,,"Coronedi-Berti C. Rivista di Letteratura Popolare. Volume I. Ermanno Loescher Editore; Torino, Italy: 1877. Appunti di medicina Bolognese; pp. 1–12.",Italy
RC-02L-tusfarfa-IT,To regulate menstrual cycle,Hedera helix,Common Ivy (EN); Edera (IT);,Leaves,,decoction,,,,,"Coronedi-Berti C. Rivista di Letteratura Popolare. Volume I. Ermanno Loescher Editore; Torino, Italy: 1877. Appunti di medicina Bolognese; pp. 1–12.",Italy
AM-01L-boroffic-IT,Amenorrhea        ,Borago officinalis,Starflower (EN); Starflower/Borage (EN); Borragine (IT);,Leaves,,boil,,Eat leaves boiled in the wine,,,Ferraro G. Botanica Popolare in Carpeneto d’Acqui. Archivio Per Lo Studio Delle Tradizioni Popolari. 1885;IV:165–189. ,Italy
RC-02L-valoffic-IT,To regulate menstrual cycle,Valeriana officinalis,Valerian (EN); Valeriana (IT);,Leaves,,soup,,,,,"Zanetti Z. La Medicina Delle Nostre Donne. Lapiti Tipografo Editore; Città di Castello, Italy: 1892. ",Italy
RC-02L-valoffic-IT,To regulate menstrual cycle,Cicer arietinum,Red chickpea (EN); Ceci (IT);,,,soup,,,,,"Zanetti Z. La Medicina Delle Nostre Donne. Lapiti Tipografo Editore; Città di Castello, Italy: 1892. ",Italy
AM-01R-brydioic-IT,Amenorrhea        ,Bryonia dioica Jacq. ,Bryonia dioica Jacq. (EN); Brionia (IT);,Roots,,not specified,,,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
RC-01L-cupsempe-IT,To regulate menstrual cycle,Cupressus sempervirens,Cypress (EN); Cipresso (IT);,Leaves,,topical administration,,Hold on the neck,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
